segment_id,lifecycle_stage,user_count,day_range,primary_goal,sub_goals,daily_theme,notification_cta,success_metric
At-Risk Trialists,trial,6,D0-D2,Stop immediate drop-off,Complete first lesson; Build first positive experience; Reduce perceived difficulty,D0: Welcome + pick a simple topic (e.g. ordering food). D1: Celebrate completing any exercise. D2: 'You spoke English today — that's more than most people do.',Open Sia and say your first sentence,First lesson completion rate
At-Risk Trialists,trial,6,D3-D5,Demonstrate tangible progress before trial ends,Show measurable improvement; Build 3-day streak; Trigger emotional investment,D3: Mini progress card ('You used 12 new words this week'). D4: Streak reminder with bonus coins. D5: 'Your English is already better than Day 0 — here is proof.',Check your progress report,3-day streak retention rate
At-Risk Trialists,trial,6,D6-D7,Convert to paid before trial expires,Create urgency; Surface loss of accumulated assets; Offer frictionless upgrade,D6: 'Only 2 days left — your 5-day streak and 120 coins will be lost.' D7: Final warning showing exactly what they lose at midnight.,Upgrade now to keep your streak and coins,Trial-to-paid conversion rate
High-Intent Trialists,trial,10,D0-D1,Secure first meaningful session within 24 hours,Complete onboarding; Select learning goal; Start first AI Tutor conversation,"D0: 'Welcome! What do you want English to do for you — better job, travel, confidence?' D1: Reinforce their chosen goal back to them in the notification.",Continue your first lesson with Sia,Day-1 retention rate
High-Intent Trialists,trial,10,D2-D5,Establish a consistent daily practice time,Build 3-day streak; Lock in preferred session time; Introduce gamification rewards,D2: Celebrate streak Day 2 with bonus coins. D3: '3 days straight — you are building a real habit.' D4: Introduce leaderboard. D5: Progress summary with encouragement.,Keep your streak alive — 5 minutes today,Sessions per user in D2-D5
High-Intent Trialists,trial,10,D6-D7,Convert via aspiration not fear,Reinforce sunk investment; Show cost-per-day framing; Tease premium scenarios,D6: Personalized progress summary + premium feature tease. D7: 'You built a 7-day streak and learned 60+ words. Unlock full SpeakX for less than a coffee a day.',Upgrade and keep your progress,Trial-to-paid conversion rate
Flight-Risk Subscribers,paid,12,D8-D12,Restart daily sessions without triggering uninstall,Get one session this week; Remind of existing assets; Remove all friction,D8: Low-pressure nudge — 'Sia misses you. Just 2 minutes today?' D9-D10: No notification (breathing room). D11: Surface coins and streak stats. D12: Soft re-entry with micro-lesson.,Jump back in — your coins are waiting,Week-2 session restart rate
Flight-Risk Subscribers,paid,12,D13-D20,Rebuild habit before renewal decision point,Complete 3 sessions; Reconnect with original learning goal; Show ROI of subscription,D13: 'You joined to improve your English for work. Here is how far you have come.' D15-D18: Gentle daily reminders. D20: Progress comparison Day 1 vs now.,See how much you have improved,Churn rate reduction vs control group
Flight-Risk Subscribers,paid,12,D21-D30,Secure next billing cycle renewal,Build 10-day streak; Introduce new feature; Create social proof,D21: Introduce something new ('Have you tried role-play mode?'). D25: Mid-streak celebration. D30: '1 day from a 30-day badge — do not stop now.',Try the new role-play scenario today,Month-2 renewal rate
Slipping Subscribers,paid,6,D8-D14,Establish minimum viable daily practice (even 2 min counts),One session per day; Reduce session length expectation; Reward any engagement,D8-D10: Push 2-minute micro-lessons only. D11: Coin bonus for 3 micro-lessons in a row. D12-D14: Gentle streak notifications at preferred hour.,2-minute practice — do it now,Daily active rate D8-D14
Slipping Subscribers,paid,6,D15-D22,Increase session frequency from once to twice daily,Introduce a second daily touchpoint; Connect to career goal; Build confidence,D15: Introduce morning + evening split. D18: 'You completed 12 exercises this week — your best yet.' D22: Motivational message tied to their original goal.,Complete your evening practice session,Sessions per user per week
Slipping Subscribers,paid,6,D23-D30,Lock in two daily sessions as the new normal,Reach 7-day streak; Introduce new feature; Reward consistency,D23-D26: Streak visual milestones. D27: Unlock a new conversation topic as reward. D28-D30: Month-end celebration and streak protection.,You are close to a 7-day streak — keep going,Month-end activeness score delta
AI-Powered Learners,paid,4,D8-D14,Lock in a daily AI Tutor session at consistent time,Complete 7 Sia conversations; Establish session timing habit; Introduce topic variety,D8-D10: Daily check-in nudge at exact preferred_hour. D11: '4 conversations this week — try a new topic today.' D12-D14: Suggest a role-play they have not tried.,Start today's conversation with Sia,AI Tutor sessions per user per week
AI-Powered Learners,paid,4,D15-D22,Move users from comfort topics to challenging role-plays,Complete 2 high-stakes scenarios; Track vocabulary growth; Build confidence in unfamiliar topics,D15: Introduce salary negotiation or interview scenario. D18: 'Your vocabulary grew by 80 words this month.' D20-D22: Encourage a completely new domain scenario.,Try the salary negotiation role-play today,Scenario variety index (unique scenarios tried)
AI-Powered Learners,paid,4,D23-D30,User feels measurable personal growth and owns their progress,Complete full month progress report; Save achievements; Re-commit for next month,D23-D26: Deep progress analytics push. D27: '19 conversations with Sia this month — here is your vocabulary growth chart.' D28-D30: Month-end celebration + next month goal setting.,View your full monthly progress report,Monthly retention rate; Progress report open rate
Gamified Competitors,paid,4,D8-D10,Get user placed and invested in the competitive leaderboard,Complete placement exercises; Check leaderboard rank; Earn first weekly coins,D8: 'Welcome to the Pro bracket — here is your starting rank.' D9: Show nearest competitor within striking distance. D10: Early week coins bonus for top-50% placement.,Check your leaderboard rank,Leaderboard check rate
Gamified Competitors,paid,4,D11-D20,Sustain daily sessions through rival-tracking notifications,Maintain top-half leaderboard; Build 10-day streak; Complete daily challenges,D11-D14: Mid-week rival update ('User_X just passed you — practice now to reclaim your rank'). D15: Top-25 entry badge. D16-D20: Daily competitive nudge at preferred hour.,Reclaim your rank — practice now,Daily sessions per user; Leaderboard engagement rate
Gamified Competitors,paid,4,D21-D30,End-of-month top-3 push for maximum emotional investment,Reach top-10 leaderboard; Complete 30-day streak; Win end-of-month badge,D21-D24: Countdown with live rank position. D25: 'Only 5 days left — 3 spots from the Top 10 badge.' D28-D30: Final sprint with daily urgent rank updates.,Final push — you are 2 spots from the Top 10 badge,Month-end leaderboard participation rate; Monthly retention
Community Builders,paid,2,D8-D14,Connect user to at least 2 peers in the SpeakX community,Follow 2 learners; Join a group challenge; Send or receive one social interaction,D8: '3 people from your city joined SpeakX this week.' D10: Invite to a group speaking challenge. D12-D14: Peer activity updates ('Your friend completed 5 lessons today').,See what your community is learning today,Social feature engagement rate
Community Builders,paid,2,D15-D22,Make user feel like a valued member not just a passive participant,Complete a shared challenge; Share a milestone; Invite one friend,D15: 'You are one of our most consistent learners — your streak inspires others.' D18: Invite a friend with bonus coins. D20-D22: Group challenge mid-point update.,Invite a friend and earn 100 bonus coins,Referral rate; Social sharing rate
Community Builders,paid,2,D23-D30,User identifies as part of the SpeakX community — drives organic retention,Complete month-end group challenge; Earn community badge; Re-commit for next month,D23-D26: Community challenge final stretch. D27: 'You helped 3 friends start their English journey this month.' D28-D30: Community celebration with special badge.,Complete the month-end group challenge,Monthly retention; Community badge earn rate
Core Curriculum Users,paid,1,D8-D14,Identify which feature creates strongest personal resonance,"Try AI Tutor, leaderboard, progress report at least once; Track highest follow-through feature",D8-D10: AI Tutor deep dive. D11-D12: Progress report and achievements view. D13-D14: Light leaderboard intro ('See how you compare this week').,Explore a feature you have not tried yet,Feature variety index; Session follow-through rate
Core Curriculum Users,paid,1,D15-D22,Double down on the feature that drove highest engagement in D8-D14,Complete 5 sessions using dominant feature; Build consistent usage; Connect to learning goal,"D15: 'Based on your practice, you love [feature] — here is how to get even more from it.' D18: Progress snapshot tied to that feature. D22: Milestone celebration.",Continue your top feature session today,Dominant feature sessions per week
Core Curriculum Users,paid,1,D23-D30,Tie all features into a complete daily routine,Build 7-day streak; Complete cross-feature session; Month-end summary,"D23-D26: Cross-feature synthesis push. D27: 'Review your report, practice weak words with Sia, then check your rank.' D28-D30: Month-end wrap-up.",Complete your full daily routine today,Monthly retention; Feature diversity score
Dormant Users,inactive,8,D1-D5 (Post-Inactivity),Maintain brand warmth without triggering uninstall,Stay top-of-mind without pressure; Deliver one value message; No conversion ask,D1-D3: Complete silence. D4: One warm message — 'Learning takes time. Sia is here whenever you are ready.' D5: Optional — inspiring story from another learner.,Come back whenever you are ready — Sia is waiting,Uninstall rate on this window; D4 open rate
Dormant Users,inactive,8,D6-D14 (Post-Inactivity),One session restart with zero friction,Complete one micro-lesson; Reconnect with personal goal; Trigger positive emotion,"D6: 'Just 1 minute with Sia today — no pressure, no streak reset.' D10: Nostalgia — show all-time best streak or top achievement. D14: Micro-commitment — '60 seconds, no speaking required.'",1-minute exercise — just to say hi to Sia,Reactivation rate (session restart %)
Dormant Users,inactive,8,D15+ (Post-Inactivity),Convert reactivated user into consistent weekly learner,Complete 3 sessions in a week; Deliver exclusive incentive; Reset positive streak,"D15: '2x coins on every lesson this week — just for coming back.' D20: New feature or content they have not seen. D30+: If no response, reduce to 1 notification per week.",Claim your 2x coins welcome-back offer,Win-back conversion rate; Week-3 retention after reactivation
Lost Customers,churned,8,D1-D7 (Post-Churn),Trigger positive recall — remind them of their best moments,Deliver one high-impact nostalgia message; No hard sell; Keep uninstall rate below 1%,"D1-D3: Silence. D4: 'You learned 500+ words with us. That knowledge is yours forever.' D7: Share personal best stats (longest streak, total exercises, words learned).",See everything you accomplished with SpeakX,Nostalgia message open rate; Uninstall rate on this window
Lost Customers,churned,8,D8-D15 (Post-Churn),Remove the 'I already tried it' objection with genuinely new content,Announce new feature or content update; Address likely churn reason; Offer frictionless re-entry,"D8: 'A lot has changed since you left — new role-plays, updated leaderboard, and more.' D12: Specific new feature deep-link. D15: 'Come back and see — no commitment needed.'",See what is new in SpeakX,Re-install or reactivation click rate
Lost Customers,churned,8,D16-D30 (Post-Churn),Convert churned user to paid subscriber with targeted offer,Deliver time-limited exclusive offer; Reduce price friction; Create urgency without pressure,"D16: '40% off your first month back — valid 72 hours only.' D20: Reminder if not clicked. D25: Social proof ('1,200 users came back this month'). D30+: If no response, 1 notification per month.",Claim your 40% win-back offer — 72 hours only,Churned user reactivation rate; Revenue recovered
