entity_type,entity_id,segment_id,slot_pos,change_type,metric_trigger,before_value,after_value,explanation
slot,US_21_slot1,AI-Powered Learners,1.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0116|early_morning,TPL_0001|late_afternoon,"TPL_0116 at early_morning had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0001 at late_afternoon (posterior_mean=0.583, label=GOOD)."
slot,US_21_slot2,AI-Powered Learners,2.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0117|early_morning,TPL_0002|mid_morning,"TPL_0117 at early_morning had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0002 at mid_morning (posterior_mean=0.583, label=GOOD)."
slot,US_21_slot3,AI-Powered Learners,3.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0118|early_morning,TPL_0003|night,"TPL_0118 at early_morning had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0003 at night (posterior_mean=0.583, label=GOOD)."
slot,US_21_slot4,AI-Powered Learners,4.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0119|evening,TPL_0004|early_morning,"TPL_0119 at evening had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0004 at early_morning (posterior_mean=0.583, label=GOOD)."
slot,US_21_slot5,AI-Powered Learners,5.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0120|evening,TPL_0005|early_morning,"TPL_0120 at evening had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0005 at early_morning (posterior_mean=0.583, label=GOOD)."
slot,US_26_slot1,AI-Powered Learners,1.0,template_replaced,old_pm=0.500;new_pm=0.583,TPL_0116|evening,TPL_0001|evening,"TPL_0116 (posterior_mean=0.500, label=) replaced by TPL_0001 (posterior_mean=0.583, label=GOOD) in AI-Powered Learners."
slot,US_26_slot2,AI-Powered Learners,2.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0117|evening,TPL_0002|afternoon,"TPL_0117 at evening had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0002 at afternoon (posterior_mean=0.583, label=GOOD)."
slot,US_26_slot3,AI-Powered Learners,3.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0118|evening,TPL_0003|afternoon,"TPL_0118 at evening had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0003 at afternoon (posterior_mean=0.583, label=GOOD)."
slot,US_26_slot4,AI-Powered Learners,4.0,template_replaced,old_pm=0.500;new_pm=0.583,TPL_0119|evening,TPL_0004|evening,"TPL_0119 (posterior_mean=0.500, label=) replaced by TPL_0004 (posterior_mean=0.583, label=GOOD) in AI-Powered Learners."
slot,US_26_slot5,AI-Powered Learners,5.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0120|early_morning,TPL_0005|mid_morning,"TPL_0120 at early_morning had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0005 at mid_morning (posterior_mean=0.583, label=GOOD)."
slot,US_26_slot6,AI-Powered Learners,6.0,template_replaced,old_pm=0.500;new_pm=0.583,TPL_0116|early_morning,TPL_0001|early_morning,"TPL_0116 (posterior_mean=0.500, label=) replaced by TPL_0001 (posterior_mean=0.583, label=GOOD) in AI-Powered Learners."
slot,US_26_slot7,AI-Powered Learners,7.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0117|early_morning,TPL_0002|late_afternoon,"TPL_0117 at early_morning had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0002 at late_afternoon (posterior_mean=0.583, label=GOOD)."
slot,US_26_slot8,AI-Powered Learners,8.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0118|early_morning,TPL_0003|evening,"TPL_0118 at early_morning had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0003 at evening (posterior_mean=0.583, label=GOOD)."
slot,US_36_slot1,AI-Powered Learners,1.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0116|early_morning,TPL_0001|afternoon,"TPL_0116 at early_morning had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0001 at afternoon (posterior_mean=0.583, label=GOOD)."
slot,US_36_slot2,AI-Powered Learners,2.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0117|early_morning,TPL_0002|afternoon,"TPL_0117 at early_morning had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0002 at afternoon (posterior_mean=0.583, label=GOOD)."
slot,US_36_slot3,AI-Powered Learners,3.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0118|early_morning,TPL_0003|evening,"TPL_0118 at early_morning had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0003 at evening (posterior_mean=0.583, label=GOOD)."
slot,US_36_slot4,AI-Powered Learners,4.0,template_replaced,old_pm=0.500;new_pm=0.583,TPL_0119|evening,TPL_0004|evening,"TPL_0119 (posterior_mean=0.500, label=) replaced by TPL_0004 (posterior_mean=0.583, label=GOOD) in AI-Powered Learners."
slot,US_36_slot5,AI-Powered Learners,5.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0120|evening,TPL_0005|afternoon,"TPL_0120 at evening had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0005 at afternoon (posterior_mean=0.583, label=GOOD)."
slot,US_49_slot1,AI-Powered Learners,1.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0106|early_morning,TPL_0001|mid_morning,"TPL_0106 at early_morning had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0001 at mid_morning (posterior_mean=0.583, label=GOOD)."
slot,US_49_slot2,AI-Powered Learners,2.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0107|early_morning,TPL_0002|late_afternoon,"TPL_0107 at early_morning had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0002 at late_afternoon (posterior_mean=0.583, label=GOOD)."
slot,US_49_slot3,AI-Powered Learners,3.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0108|early_morning,TPL_0003|late_afternoon,"TPL_0108 at early_morning had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0003 at late_afternoon (posterior_mean=0.583, label=GOOD)."
slot,US_49_slot4,AI-Powered Learners,4.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0109|evening,TPL_0004|mid_morning,"TPL_0109 at evening had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0004 at mid_morning (posterior_mean=0.583, label=GOOD)."
slot,US_49_slot5,AI-Powered Learners,5.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0110|evening,TPL_0005|late_afternoon,"TPL_0110 at evening had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0005 at late_afternoon (posterior_mean=0.583, label=GOOD)."
slot,US_14_slot1,At-Risk Trialists,1.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.528,TPL_0076|mid_morning,TPL_0006|night,"TPL_0076 at mid_morning had CTR=0.0% (label=UNKNOWN in At-Risk Trialists). Replaced by TPL_0006 at night (posterior_mean=0.528, label=GOOD)."
slot,US_14_slot2,At-Risk Trialists,2.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.500,TPL_0077|mid_morning,TPL_0007|evening,"TPL_0077 at mid_morning had CTR=0.0% (label=UNKNOWN in At-Risk Trialists). Replaced by TPL_0007 at evening (posterior_mean=0.500, label=NEUTRAL)."
slot,US_14_slot3,At-Risk Trialists,3.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.500,TPL_0078|afternoon,TPL_0008|late_afternoon,"TPL_0078 at afternoon had CTR=0.0% (label=UNKNOWN in At-Risk Trialists). Replaced by TPL_0008 at late_afternoon (posterior_mean=0.500, label=NEUTRAL)."
slot,US_16_slot1,At-Risk Trialists,1.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.528,TPL_0076|evening,TPL_0006|afternoon,"TPL_0076 at evening had CTR=0.0% (label=UNKNOWN in At-Risk Trialists). Replaced by TPL_0006 at afternoon (posterior_mean=0.528, label=GOOD)."
slot,US_16_slot2,At-Risk Trialists,2.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.500,TPL_0077|evening,TPL_0007|night,"TPL_0077 at evening had CTR=0.0% (label=UNKNOWN in At-Risk Trialists). Replaced by TPL_0007 at night (posterior_mean=0.500, label=NEUTRAL)."
slot,US_16_slot3,At-Risk Trialists,3.0,template_replaced,old_pm=0.500;new_pm=0.500,TPL_0078|afternoon,TPL_0008|afternoon,"TPL_0078 (posterior_mean=0.500, label=) replaced by TPL_0008 (posterior_mean=0.500, label=NEUTRAL) in At-Risk Trialists."
slot,US_43_slot1,At-Risk Trialists,1.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.528,TPL_0086|evening,TPL_0006|afternoon,"TPL_0086 at evening had CTR=0.0% (label=UNKNOWN in At-Risk Trialists). Replaced by TPL_0006 at afternoon (posterior_mean=0.528, label=GOOD)."
slot,US_43_slot2,At-Risk Trialists,2.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.500,TPL_0087|evening,TPL_0007|afternoon,"TPL_0087 at evening had CTR=0.0% (label=UNKNOWN in At-Risk Trialists). Replaced by TPL_0007 at afternoon (posterior_mean=0.500, label=NEUTRAL)."
slot,US_43_slot3,At-Risk Trialists,3.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.500,TPL_0088|afternoon,TPL_0008|early_morning,"TPL_0088 at afternoon had CTR=0.0% (label=UNKNOWN in At-Risk Trialists). Replaced by TPL_0008 at early_morning (posterior_mean=0.500, label=NEUTRAL)."
slot,US_51_slot1,At-Risk Trialists,1.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.528,TPL_0076|mid_morning,TPL_0006|night,"TPL_0076 at mid_morning had CTR=0.0% (label=UNKNOWN in At-Risk Trialists). Replaced by TPL_0006 at night (posterior_mean=0.528, label=GOOD)."
slot,US_51_slot2,At-Risk Trialists,2.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.500,TPL_0077|mid_morning,TPL_0007|night,"TPL_0077 at mid_morning had CTR=0.0% (label=UNKNOWN in At-Risk Trialists). Replaced by TPL_0007 at night (posterior_mean=0.500, label=NEUTRAL)."
slot,US_51_slot3,At-Risk Trialists,3.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.500,TPL_0078|afternoon,TPL_0008|mid_morning,"TPL_0078 at afternoon had CTR=0.0% (label=UNKNOWN in At-Risk Trialists). Replaced by TPL_0008 at mid_morning (posterior_mean=0.500, label=NEUTRAL)."
slot,US_53_slot1,At-Risk Trialists,1.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.528,TPL_0086|evening,TPL_0006|afternoon,"TPL_0086 at evening had CTR=0.0% (label=UNKNOWN in At-Risk Trialists). Replaced by TPL_0006 at afternoon (posterior_mean=0.528, label=GOOD)."
slot,US_53_slot2,At-Risk Trialists,2.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.500,TPL_0087|evening,TPL_0007|night,"TPL_0087 at evening had CTR=0.0% (label=UNKNOWN in At-Risk Trialists). Replaced by TPL_0007 at night (posterior_mean=0.500, label=NEUTRAL)."
slot,US_53_slot3,At-Risk Trialists,3.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.500,TPL_0088|afternoon,TPL_0008|mid_morning,"TPL_0088 at afternoon had CTR=0.0% (label=UNKNOWN in At-Risk Trialists). Replaced by TPL_0008 at mid_morning (posterior_mean=0.500, label=NEUTRAL)."
slot,US_8_slot1,At-Risk Trialists,1.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.528,TPL_0081|afternoon,TPL_0006|early_morning,"TPL_0081 at afternoon had CTR=0.0% (label=UNKNOWN in At-Risk Trialists). Replaced by TPL_0006 at early_morning (posterior_mean=0.528, label=GOOD)."
slot,US_8_slot2,At-Risk Trialists,2.0,template_replaced,old_pm=0.500;new_pm=0.500,TPL_0082|afternoon,TPL_0007|afternoon,"TPL_0082 (posterior_mean=0.500, label=) replaced by TPL_0007 (posterior_mean=0.500, label=NEUTRAL) in At-Risk Trialists."
slot,US_8_slot3,At-Risk Trialists,3.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.500,TPL_0083|mid_morning,TPL_0008|early_morning,"TPL_0083 at mid_morning had CTR=0.0% (label=UNKNOWN in At-Risk Trialists). Replaced by TPL_0008 at early_morning (posterior_mean=0.500, label=NEUTRAL)."
slot,US_13_slot1,Community Builders,1.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0091|early_morning,TPL_0011|night,"TPL_0091 at early_morning had CTR=0.0% (label=UNKNOWN in Community Builders). Replaced by TPL_0011 at night (posterior_mean=0.583, label=GOOD)."
slot,US_13_slot2,Community Builders,2.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0092|early_morning,TPL_0012|mid_morning,"TPL_0092 at early_morning had CTR=0.0% (label=UNKNOWN in Community Builders). Replaced by TPL_0012 at mid_morning (posterior_mean=0.583, label=GOOD)."
slot,US_13_slot3,Community Builders,3.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0093|early_morning,TPL_0013|evening,"TPL_0093 at early_morning had CTR=0.0% (label=UNKNOWN in Community Builders). Replaced by TPL_0013 at evening (posterior_mean=0.583, label=GOOD)."
slot,US_13_slot4,Community Builders,4.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.528,TPL_0094|night,TPL_0014|early_morning,"TPL_0094 at night had CTR=0.0% (label=UNKNOWN in Community Builders). Replaced by TPL_0014 at early_morning (posterior_mean=0.528, label=GOOD)."
slot,US_13_slot5,Community Builders,5.0,template_replaced,old_pm=0.500;new_pm=0.528,TPL_0095|night,TPL_0015|night,"TPL_0095 (posterior_mean=0.500, label=) replaced by TPL_0015 (posterior_mean=0.528, label=GOOD) in Community Builders."
slot,US_32_slot1,Community Builders,1.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0101|night,TPL_0011|evening,"TPL_0101 at night had CTR=0.0% (label=UNKNOWN in Community Builders). Replaced by TPL_0011 at evening (posterior_mean=0.583, label=GOOD)."
slot,US_32_slot2,Community Builders,2.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0102|night,TPL_0012|evening,"TPL_0102 at night had CTR=0.0% (label=UNKNOWN in Community Builders). Replaced by TPL_0012 at evening (posterior_mean=0.583, label=GOOD)."
slot,US_32_slot3,Community Builders,3.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0103|night,TPL_0013|afternoon,"TPL_0103 at night had CTR=0.0% (label=UNKNOWN in Community Builders). Replaced by TPL_0013 at afternoon (posterior_mean=0.583, label=GOOD)."
slot,US_32_slot4,Community Builders,4.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.528,TPL_0104|early_morning,TPL_0014|mid_morning,"TPL_0104 at early_morning had CTR=0.0% (label=UNKNOWN in Community Builders). Replaced by TPL_0014 at mid_morning (posterior_mean=0.528, label=GOOD)."
slot,US_32_slot5,Community Builders,5.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.528,TPL_0105|early_morning,TPL_0015|night,"TPL_0105 at early_morning had CTR=0.0% (label=UNKNOWN in Community Builders). Replaced by TPL_0015 at night (posterior_mean=0.528, label=GOOD)."
slot,US_41_slot1,Core Curriculum Users,1.0,template_replaced,old_pm=0.500;new_pm=0.556,TPL_0136|late_afternoon,TPL_0016|late_afternoon,"TPL_0136 (posterior_mean=0.500, label=) replaced by TPL_0016 (posterior_mean=0.556, label=GOOD) in Core Curriculum Users."
slot,US_41_slot2,Core Curriculum Users,2.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.556,TPL_0137|late_afternoon,TPL_0017|early_morning,"TPL_0137 at late_afternoon had CTR=0.0% (label=UNKNOWN in Core Curriculum Users). Replaced by TPL_0017 at early_morning (posterior_mean=0.556, label=GOOD)."
slot,US_41_slot3,Core Curriculum Users,3.0,template_replaced,old_pm=0.500;new_pm=0.556,TPL_0138|late_afternoon,TPL_0018|late_afternoon,"TPL_0138 (posterior_mean=0.500, label=) replaced by TPL_0018 (posterior_mean=0.556, label=GOOD) in Core Curriculum Users."
slot,US_41_slot4,Core Curriculum Users,4.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.556,TPL_0139|late_afternoon,TPL_0019|evening,"TPL_0139 at late_afternoon had CTR=0.0% (label=UNKNOWN in Core Curriculum Users). Replaced by TPL_0019 at evening (posterior_mean=0.556, label=GOOD)."
slot,US_41_slot5,Core Curriculum Users,5.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.556,TPL_0140|late_afternoon,TPL_0020|afternoon,"TPL_0140 at late_afternoon had CTR=0.0% (label=UNKNOWN in Core Curriculum Users). Replaced by TPL_0020 at afternoon (posterior_mean=0.556, label=GOOD)."
slot,US_10_slot1,Dormant Users,1.0,template_replaced,old_pm=0.500;new_pm=0.472,TPL_0061|early_morning,TPL_0021|early_morning,"TPL_0061 (posterior_mean=0.500, label=) replaced by TPL_0021 (posterior_mean=0.472, label=NEUTRAL) in Dormant Users."
slot,US_10_slot2,Dormant Users,2.0,slot_dropped,slot_dropped_by_frequency_guardrail,TPL_0062|early_morning,null,Slot was active in iter0 (TPL_0062 at early_morning) but removed in iter1. Frequency guardrail reduced total notifications for Dormant Users.
slot,US_10_slot3,Dormant Users,3.0,slot_dropped,slot_dropped_by_frequency_guardrail,TPL_0063|evening,null,Slot was active in iter0 (TPL_0063 at evening) but removed in iter1. Frequency guardrail reduced total notifications for Dormant Users.
slot,US_11_slot1,Dormant Users,1.0,template_replaced,old_pm=0.500;new_pm=0.472,TPL_0061|early_morning,TPL_0021|early_morning,"TPL_0061 (posterior_mean=0.500, label=) replaced by TPL_0021 (posterior_mean=0.472, label=NEUTRAL) in Dormant Users."
slot,US_11_slot2,Dormant Users,2.0,slot_dropped,slot_dropped_by_frequency_guardrail,TPL_0062|early_morning,null,Slot was active in iter0 (TPL_0062 at early_morning) but removed in iter1. Frequency guardrail reduced total notifications for Dormant Users.
slot,US_11_slot3,Dormant Users,3.0,slot_dropped,slot_dropped_by_frequency_guardrail,TPL_0063|evening,null,Slot was active in iter0 (TPL_0063 at evening) but removed in iter1. Frequency guardrail reduced total notifications for Dormant Users.
slot,US_34_slot1,Dormant Users,1.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.472,TPL_0061|afternoon,TPL_0021|night,"TPL_0061 at afternoon had CTR=0.0% (label=UNKNOWN in Dormant Users). Replaced by TPL_0021 at night (posterior_mean=0.472, label=NEUTRAL)."
slot,US_34_slot2,Dormant Users,2.0,slot_dropped,slot_dropped_by_frequency_guardrail,TPL_0062|afternoon,null,Slot was active in iter0 (TPL_0062 at afternoon) but removed in iter1. Frequency guardrail reduced total notifications for Dormant Users.
slot,US_34_slot3,Dormant Users,3.0,slot_dropped,slot_dropped_by_frequency_guardrail,TPL_0063|early_morning,null,Slot was active in iter0 (TPL_0063 at early_morning) but removed in iter1. Frequency guardrail reduced total notifications for Dormant Users.
slot,US_42_slot1,Dormant Users,1.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.472,TPL_0061|afternoon,TPL_0021|late_afternoon,"TPL_0061 at afternoon had CTR=0.0% (label=UNKNOWN in Dormant Users). Replaced by TPL_0021 at late_afternoon (posterior_mean=0.472, label=NEUTRAL)."
slot,US_42_slot2,Dormant Users,2.0,slot_dropped,slot_dropped_by_frequency_guardrail,TPL_0062|afternoon,null,Slot was active in iter0 (TPL_0062 at afternoon) but removed in iter1. Frequency guardrail reduced total notifications for Dormant Users.
slot,US_42_slot3,Dormant Users,3.0,slot_dropped,slot_dropped_by_frequency_guardrail,TPL_0063|early_morning,null,Slot was active in iter0 (TPL_0063 at early_morning) but removed in iter1. Frequency guardrail reduced total notifications for Dormant Users.
